	err	sigma	
0	1.8	0.8	67.0967741935484
0	1.8	1	67.08860759493672
0	1.8	1.2	62.23776223776224
0	1.8	1.4	68.83116883116884
0	1.8	1.6	68.75
0	1.8	1.8	60.64516129032258
0	1.8	2	65.82278481012658
0	1.8	2.2	67.08074534161491
0	2	0.8	68.62745098039215
0	2	1	67.10526315789474
0	2	1.2	62.643678160919535
0	2	1.4	61.25000000000001
0	2	1.6	71.875
0	2	1.8	66.0377358490566
0	2	2	66.66666666666666
0	2	2.2	66.86746987951807
0	2.2	0.8	64.44444444444444
0	2.2	1	68.42105263157895
0	2.2	1.2	70.74829931972789
0	2.2	1.4	61.72839506172839
0	2.2	1.6	70.16129032258065
0	2.2	1.8	69.48051948051948
0	2.2	2	69.07894736842105
0	2.2	2.2	61.67664670658682
0	2.4	0.8	71.42857142857143
0	2.4	1	62.745098039215684
0	2.4	1.2	66.2420382165605
0	2.4	1.4	65.56291390728477
0	2.4	1.6	64.74358974358975
0	2.4	1.8	65.67164179104478
0	2.4	2	66.02564102564102
0	2.4	2.2	55.033557046979865
0	2.6	0.8	62.27544910179641
0	2.6	1	73.68421052631578
0	2.6	1.2	67.26190476190477
0	2.6	1.4	65.3061224489796
0	2.6	1.6	69.07894736842105
0	2.6	1.8	70.51282051282051
0	2.6	2	64.28571428571429
0	2.6	2.2	67.85714285714286
0	2.8	0.8	67.37588652482269
0	2.8	1	66.87898089171973
0	2.8	1.2	73.91304347826086
0	2.8	1.4	64.1025641025641
0	2.8	1.6	66.66666666666666
0	2.8	1.8	65.49707602339181
0	2.8	2	71.08433734939759
0	2.8	2.2	56.41025641025641
0	3	0.8	61.48648648648649
0	3	1	68.15286624203821
0	3	1.2	65.3409090909091
0	3	1.4	66.86390532544378
0	3	1.6	65.21739130434783
0	3	1.8	64.41717791411043
0	3	2	63.190184049079754
0	3	2.2	65.08875739644971
0	3.2	0.8	66.02564102564102
0	3.2	1	66.875
0	3.2	1.2	64.28571428571429
0	3.2	1.4	66.4179104477612
0	3.2	1.6	66.85714285714286
0	3.2	1.8	68.9873417721519
0	3.2	2	66.06060606060606
0	3.2	2.2	66.01307189542483
1	1.8	0.8	25.806451612903224
1	1.8	1	24.050632911392405
1	1.8	1.2	31.46853146853147
1	1.8	1.4	21.428571428571427
1	1.8	1.6	24.305555555555554
1	1.8	1.8	30.967741935483872
1	1.8	2	26.582278481012654
1	1.8	2.2	22.36024844720497
1	2	0.8	25.49019607843137
1	2	1	27.631578947368425
1	2	1.2	31.03448275862069
1	2	1.4	30.625000000000004
1	2	1.6	20.625
1	2	1.8	25.78616352201258
1	2	2	23.717948717948715
1	2	2.2	25.903614457831324
1	2.2	0.8	30.0
1	2.2	1	23.026315789473685
1	2.2	1.2	21.08843537414966
1	2.2	1.4	29.629629629629626
1	2.2	1.6	24.193548387096776
1	2.2	1.8	22.727272727272727
1	2.2	2	20.394736842105264
1	2.2	2.2	28.74251497005988
1	2.4	0.8	22.142857142857142
1	2.4	1	29.411764705882355
1	2.4	1.2	28.02547770700637
1	2.4	1.4	27.1523178807947
1	2.4	1.6	27.564102564102566
1	2.4	1.8	27.611940298507463
1	2.4	2	25.0
1	2.4	2.2	30.201342281879196
1	2.6	0.8	29.34131736526946
1	2.6	1	22.36842105263158
1	2.6	1.2	26.190476190476193
1	2.6	1.4	29.25170068027211
1	2.6	1.6	23.026315789473685
1	2.6	1.8	21.794871794871796
1	2.6	2	24.025974025974026
1	2.6	2.2	24.404761904761905
1	2.8	0.8	26.24113475177305
1	2.8	1	22.29299363057325
1	2.8	1.2	21.11801242236025
1	2.8	1.4	27.564102564102566
1	2.8	1.6	29.01234567901235
1	2.8	1.8	26.900584795321635
1	2.8	2	19.879518072289155
1	2.8	2.2	31.41025641025641
1	3	0.8	29.054054054054053
1	3	1	24.203821656050955
1	3	1.2	28.97727272727273
1	3	1.4	21.893491124260358
1	3	1.6	28.985507246376812
1	3	1.8	31.28834355828221
1	3	2	29.447852760736197
1	3	2.2	27.810650887573964
1	3.2	0.8	24.358974358974358
1	3.2	1	23.125
1	3.2	1.2	30.0
1	3.2	1.4	28.35820895522388
1	3.2	1.6	23.42857142857143
1	3.2	1.8	23.417721518987342
1	3.2	2	27.878787878787882
1	3.2	2.2	25.49019607843137
2	1.8	0.8	7.096774193548387
2	1.8	1	8.227848101265822
2	1.8	1.2	5.594405594405594
2	1.8	1.4	9.090909090909092
2	1.8	1.6	6.944444444444445
2	1.8	1.8	8.38709677419355
2	1.8	2	6.329113924050633
2	1.8	2.2	9.937888198757763
2	2	0.8	5.88235294117647
2	2	1	5.263157894736842
2	2	1.2	6.321839080459771
2	2	1.4	8.125
2	2	1.6	7.5
2	2	1.8	7.547169811320755
2	2	2	9.615384615384617
2	2	2.2	7.228915662650602
2	2.2	0.8	5.555555555555555
2	2.2	1	8.552631578947368
2	2.2	1.2	8.16326530612245
2	2.2	1.4	8.641975308641975
2	2.2	1.6	4.838709677419355
2	2.2	1.8	7.792207792207792
2	2.2	2	9.868421052631579
2	2.2	2.2	8.383233532934131
2	2.4	0.8	6.428571428571428
2	2.4	1	7.8431372549019605
2	2.4	1.2	5.7324840764331215
2	2.4	1.4	6.622516556291391
2	2.4	1.6	7.6923076923076925
2	2.4	1.8	5.970149253731343
2	2.4	2	7.6923076923076925
2	2.4	2.2	11.409395973154362
2	2.6	0.8	8.383233532934131
2	2.6	1	3.9473684210526314
2	2.6	1.2	6.547619047619048
2	2.6	1.4	4.761904761904762
2	2.6	1.6	7.894736842105263
2	2.6	1.8	7.051282051282051
2	2.6	2	11.03896103896104
2	2.6	2.2	7.738095238095238
2	2.8	0.8	6.382978723404255
2	2.8	1	10.828025477707007
2	2.8	1.2	4.968944099378882
2	2.8	1.4	8.333333333333332
2	2.8	1.6	4.320987654320987
2	2.8	1.8	7.602339181286549
2	2.8	2	7.83132530120482
2	2.8	2.2	11.538461538461538
2	3	0.8	9.45945945945946
2	3	1	7.643312101910828
2	3	1.2	5.681818181818182
2	3	1.4	11.242603550295858
2	3	1.6	5.797101449275362
2	3	1.8	3.6809815950920246
2	3	2	4.294478527607362
2	3	2.2	5.325443786982249
2	3.2	0.8	9.615384615384617
2	3.2	1	10.0
2	3.2	1.2	4.285714285714286
2	3.2	1.4	5.223880597014925
2	3.2	1.6	9.714285714285714
2	3.2	1.8	6.962025316455696
2	3.2	2	6.0606060606060606
2	3.2	2.2	7.8431372549019605
3	1.8	1	0.6329113924050633
3	1.8	1.2	0.6993006993006993
3	1.8	1.4	0.6493506493506493
3	1.8	2	1.2658227848101267
3	1.8	2.2	0.6211180124223602
3	2	1.8	0.628930817610063
3	2.2	1.6	0.8064516129032258
3	2.2	2	0.6578947368421052
3	2.2	2.2	0.5988023952095809
3	2.4	1.4	0.6622516556291391
3	2.4	1.8	0.7462686567164178
3	2.4	2	1.282051282051282
3	2.4	2.2	3.3557046979865772
3	2.6	1.4	0.6802721088435374
3	2.6	2	0.6493506493506493
3	2.8	2	1.2048192771084338
3	2.8	2.2	0.641025641025641
3	3	1.8	0.6134969325153374
3	3	2	3.067484662576687
3	3	2.2	1.7751479289940828
3	3.2	1.2	1.4285714285714286
3	3.2	2.2	0.6535947712418301
4	2.2	2.2	0.5988023952095809
4	2.6	1.8	0.641025641025641
4	3.2	1.8	0.6329113924050633
