#	sigma	lambda	success
1	0.003	0.8264462809917356
1	0.01	11.877394636015326
1	0.03	26.027397260273972
1	0.1	39.02439024390244
1	0.3	44.81327800829876
1	1	58.71212121212122

1.3	0.003	2.066115702479339
1.3	0.01	16.51376146788991
1.3	0.03	29.67479674796748
1.3	0.1	42.30769230769231
1.3	0.3	53.2258064516129
1.3	1	63.63636363636363

1.7	0.001	0.43668122270742354
1.7	0.003	2.941176470588235
1.7	0.01	19.758064516129032
1.7	0.03	32.79352226720648
1.7	0.1	46.79245283018868
1.7	0.3	53.84615384615385
1.7	1	59.893048128342244

2.1	0.001	1.7777777777777777
2.1	0.003	4.5662100456621
2.1	0.01	23.275862068965516
2.1	0.03	29.65779467680608
2.1	0.1	44.20600858369099
2.1	0.3	53.36538461538461
2.1	1	55.601659751037346

2.3	0.001	0.8968609865470852
2.3	0.003	8.614232209737828
2.3	0.01	21.49122807017544
2.3	0.03	31.877729257641924
2.3	0.1	48.24561403508772
2.3	0.3	47.91666666666667
2.3	1	51.81159420289855

2.5	0.001 0.7936507936507936
2.5	0.003	10.655737704918032
2.5	0.01	23.4375
2.5	0.03	37.03703703703704
2.5	0.1	41.37931034482759
2.5	0.3	48.52320675105485
2.5	1	62.76150627615063
