sigma	lambda success_rate
1	0.001	5.88235294117647
1	0.003	33.47107438016529
1	0.01	33.33333333333333
1	0.03	13.698630136986301
1	0.1	7.723577235772358
1	0.3	5.809128630705394
1	1	7.954545454545454
1.3	0.001	22.22222222222222
1.3	0.003	41.32231404958678
1.3	0.01	27.522935779816514
1.3	0.03	11.788617886178862
1.3	0.1	13.247863247863249
1.3	0.3	6.048387096774194
1.3	1	9.090909090909092
1.7	0.001	26.637554585152838
1.7	0.003	40.33613445378151
1.7	0.01	25.0
1.7	0.03	15.384615384615385
1.7	0.1	5.283018867924529
1.7	0.3	7.264957264957266
1.7	1	8.55614973262032
2.1	0.001	28.888888888888886
2.1	0.003	31.963470319634702
2.1	0.01	20.25862068965517
2.1	0.03	15.96958174904943
2.1	0.1	9.871244635193133
2.1	0.3	10.576923076923077
2.1	1	7.883817427385892
2.3	0.001	29.14798206278027
2.3	0.003	30.711610486891384
2.3	0.01	25.438596491228072
2.3	0.03	16.593886462882097
2.3	0.1	10.964912280701753
2.3	0.3	10.416666666666668
2.3	1	10.144927536231885
2.5	0.001	30.158730158730158
2.5	0.003	31.147540983606557
2.5	0.01	23.4375
2.5	0.03	18.51851851851852
2.5	0.1	9.913793103448276
2.5	0.3	11.814345991561181
2.5	1	7.112970711297072
