 err sigma lambda
0.0 1.0 0.0010 1/250 0.4%
0.0 1.0 0.0030 21/240 8.75%
0.0 1.0 0.01 77/250 30.8%
0.0 1.0 0.03 111/236 47.03389830508475%
0.0 1.0 0.1 125/231 54.112554112554115%
0.0 1.0 0.3 143/251 56.97211155378486%
0.0 1.0 1.0 125/218 57.3394495412844%
0.0 1.3 0.0010 2/242 0.8264462809917356%
0.0 1.3 0.0030 30/209 14.354066985645932%
0.0 1.3 0.01 78/240 32.5%
0.0 1.3 0.03 124/257 48.249027237354085%
0.0 1.3 0.1 146/252 57.936507936507944%
0.0 1.3 0.3 155/238 65.12605042016807%
0.0 1.3 1.0 161/238 67.64705882352942%
0.0 1.7 0.0010 10/243 4.11522633744856%
0.0 1.7 0.0030 44/243 18.106995884773664%
0.0 1.7 0.01 94/227 41.409691629955944%
0.0 1.7 0.03 108/227 47.57709251101321%
0.0 1.7 0.1 146/234 62.39316239316239%
0.0 1.7 0.3 153/264 57.95454545454546%
0.0 1.7 1.0 183/269 68.02973977695167%
0.0 2.1 0.0010 13/242 5.371900826446281%
0.0 2.1 0.0030 66/238 27.73109243697479%
0.0 2.1 0.01 101/246 41.05691056910569%
0.0 2.1 0.03 108/234 46.15384615384615%
0.0 2.1 0.1 144/235 61.27659574468085%
0.0 2.1 0.3 173/256 67.578125%
0.0 2.1 1.0 154/248 62.096774193548384%
0.0 2.3 0.0010 17/224 7.5892857142857135%
0.0 2.3 0.0030 59/235 25.106382978723403%
0.0 2.3 0.01 110/262 41.98473282442748%
0.0 2.3 0.03 128/258 49.6124031007752%
0.0 2.3 0.1 144/222 64.86486486486487%
0.0 2.3 0.3 146/243 60.08230452674898%
0.0 2.3 1.0 162/229 70.74235807860262%
0.0 2.5 0.0010 18/234 7.6923076923076925%
0.0 2.5 0.0030 50/223 22.421524663677133%
0.0 2.5 0.01 96/232 41.37931034482759%
0.0 2.5 0.03 114/205 55.60975609756098%
0.0 2.5 0.1 127/225 56.44444444444444%
0.0 2.5 0.3 145/228 63.59649122807017%
0.0 2.5 1.0 146/222 65.76576576576578%
1.0 1.0 0.0010 19/250 7.6%
1.0 1.0 0.0030 102/240 42.5%
1.0 1.0 0.01 139/250 55.60000000000001%
1.0 1.0 0.03 109/236 46.186440677966104%
1.0 1.0 0.1 93/231 40.25974025974026%
1.0 1.0 0.3 96/251 38.24701195219124%
