#sigma	lambda	success
1	0.001	0.4
1	0.003	8.75
1	0.01	30.8
1	0.03	47.03389830508475
1	0.1	54.112554112554115
1	0.3	56.97211155378486
1	1	57.3394495412844
1.3	0.001	0.8264462809917356
1.3	0.003	14.354066985645932
1.3	0.01	32.5
1.3	0.03	48.249027237354085
1.3	0.1	57.936507936507944
1.3	0.3	65.12605042016807
1.3	1	67.64705882352942
1.7	0.001	4.11522633744856
1.7	0.003	18.106995884773664
1.7	0.01	41.409691629955944
1.7	0.03	47.57709251101321
1.7	0.1	62.39316239316239
1.7	0.3	57.95454545454546
1.7	1	68.02973977695167
2.1	0.001	5.371900826446281
2.1	0.003	27.73109243697479
2.1	0.01	41.05691056910569
2.1	0.03	46.15384615384615
2.1	0.1	61.27659574468085
2.1	0.3	67.578125
2.1	1	62.096774193548384
2.3	0.001	7.5892857142857135
2.3	0.003	25.106382978723403
2.3	0.01	41.98473282442748
2.3	0.03	49.6124031007752
2.3	0.1	64.86486486486487
2.3	0.3	60.08230452674898
2.3	1	70.74235807860262
2.5	0.001	7.6923076923076925
2.5	0.003	22.421524663677133
2.5	0.01	41.37931034482759
2.5	0.03	55.60975609756098
2.5	0.1	56.44444444444444
2.5	0.3	63.59649122807017
2.5	1	65.76576576576578
