lambda	lambda_ih	epoch
0.001	0.001	204545.6
0.001	0.002	203060.93589744
0.005	1.0E-6	165299.35087719
0.005	2.0E-5	127145
0.005	0.0002	96864.385964912
0.005	0.005	108516.94339623
0.005	0.02	129359.32758621
0.005	5.0E-6	143571.09459459
0.005	0.1	109911.42253521
0.005	5.0E-7	105316.25454545
0.005	0.001	113281.55238095
0.005	0.01	115391
0.005	5.0E-5	97259.363636364
0.005	1.0E-5	140716.98275862
0.005	2.0E-6	170150.77586207
0.005	0.002	105227.44444444
5000	0.02	480.42857142857
5000	0.002	2605.4578754579
5000	2.0E-5	35655.705263158
5000	0.001	2342.6119047619
5000	0.005	2251.8735632184
5000	5.0E-5	14191.863636364
5000	0.0002	7948.7804878049
5000	0.0005	4890.7120418848
5000	0.0001	9997.2171717172
5000	1.0E-5	40870.142857143
50	5.0E-5	21475.129943503
50	1.0E-5	43685.757894737
50	0.0002	10068.315315315
50	0.005	4030.2966101695
50	0.001	3885.0467532468
50	2.0E-5	26872.8
50	0.002	3592.1382488479
50	0.01	1945.8076923077
50	0.0001	12051.304568528
50	0.0005	4676.8735632184
0.1	0.0001	40745.203703704
0.1	0.002	21752.074626866
0.1	0.0002	17395.833333333
0.1	2.0E-5	74365.62745098
0.1	0.005	29104.59223301
0.1	0.001	28569.209302326
200	0.0005	5084.5602094241
200	5.0E-5	20298.578034682
200	0.01	2105.1509433962
200	0.001	3523.9484029484
200	0.005	1522.7671755725
200	1.0E-5	39411.186813187
200	0.0001	12386.051282051
200	0.002	5789.5539033457
200	0.1	13943.519230769
200	2.0E-5	45522.482926829
200	0.0002	8079.9162011173
100	1.0E-5	50346.248730964
100	0.002	2133.0867768595
100	0.0001	11971.209756098
100	2.0E-6	41583.62962963
100	5.0E-6	60274.862068966
100	0.001	4140.7859007833
100	0.0005	4547.2341463415
100	0.005	2989.8041666667
100	0.01	6436.8076923077
100	5.0E-5	17927.286995516
100	0.0002	7729.3918918919
100	0.05	682.62264150943
100	2.0E-5	38978.645502646
0.002	0.005	143286.14705882
0.002	5.0E-6	151256.05263158
0.002	0.001	144235.81818182
0.002	1.0E-5	218217.64285714
0.002	0.002	137708.92222222
0.002	2.0E-5	182043.16363636
0.2	0.005	21470.985074627
0.2	0.002	34211.614457831
0.2	0.001	8061.9634146341
0.2	0.0005	9428.224137931
1000	0.5	17017.764705882
1000	0.01	639.62068965517
1000	0.001	1548.4793187348
1000	0.002	1517.25
1000	0.0001	13456.672985782
1000	0.005	1342.8804780876
1000	0.0005	4584.5524861878
1000	5.0E-6	55476.277777778
1000	5.0E-5	21472.035
1000	1.0E-5	39512.390697674
1000	2.0E-5	33083.502487562
1000	0.0002	8892.2727272727
1000	2.0E-6	39080.62745098
0.02	0.002	83829.578947368
0.02	0.005	87716.557377049
0.02	0.001	64105.35483871
10000	0.02	1190
10000	2.0E-5	38027.819004525
10000	0.005	1401.3791666667
10000	0.05	1042.1320754717
10000	1.0E-5	48610.952095808
10000	0.0001	13687.507109005
10000	5.0E-6	49287.259259259
10000	0.002	2376.7983870968
10000	0.0005	6287.25
10000	0.0002	11371.590163934
10000	0.001	2297.2451923077
10000	5.0E-5	17675.644808743
0.5	0.0001	19171.307692308
0.5	0.002	4476.8064516129
0.5	0.001	9659.2772277228
0.5	5.0E-6	65017.019230769
0.5	0.005	11113.084210526
0.5	1.0E-6	46506.288461538
0.5	5.0E-5	20803.948275862
1	2.0E-5	42117.463768116
1	0.0001	17646.241176471
1	0.002	4077.3636363636
1	0.001	4122.2531328321
1	0.005	6255.0944206009
1	0.0005	5900.0253807107
1	5.0E-6	64392.810344828
1	5.0E-5	31140.559090909
1	1.0E-5	36618.754385965
1	0.0002	16418.960451977
500	0.001	3681.2428198433
500	0.002	1770.8731707317
500	1.0E-5	59607.703703704
500	5.0E-5	14858.251308901
500	0.0005	5217.4517766497
500	0.0002	8251.5902439024
500	0.01	4226.1403508772
500	0.0001	13735.83248731
500	0.005	3213.6576576577
500	2.0E-5	45145.333333333
20	5.0E-5	22331.301020408
20	0.02	6031.1538461538
20	0.0005	5755.0055248619
20	2.0E-5	34174.022123894
20	0.002	4112.9157894737
20	1.0E-5	43458.974874372
20	0.01	1507.6346153846
20	0.001	3820.1488250653
20	0.0001	16168.403726708
20	0.0002	8093.3080357143
20	0.005	2544.2180094787
10	0.0005	4840.4870466321
10	0.002	4323.5405405405
10	0.02	15761.851851852
10	5.0E-5	23428.669902913
10	0.005	1552.9800995025
10	1.0E-5	54715.869109948
10	5.0E-6	68772.018518519
10	2.0E-6	47952.327272727
10	0.001	4652.9756097561
10	2.0E-5	42284.705555556
10	0.0001	16916.322222222
10	0.0002	12060.118556701
2	5.0E-5	20141.701219512
2	0.002	3780.0337552743
2	0.0005	11511.851851852
2	2.0E-5	30817.668246445
2	0.005	4410.71875
2	0.001	4502.4523809524
2	1.0E-5	57668.146067416
2	0.0001	25825.105555556
2	0.0002	12131.790419162
2000	0.005	1125.5873015873
2000	0.0001	10523.086538462
2000	0.0002	10412.868421053
2000	2.0E-5	29127.353535354
2000	1.0E-5	43179.710144928
2000	0.001	3936.1650246305
2000	0.002	1298.5517241379
2000	5.0E-5	17521.368686869
2000	0.01	682.81481481481
2000	5.0E-6	47577.525423729
2000	0.0005	3534.7
5	0.0005	5766.850931677
5	0.005	5358.4908256881
5	5.0E-5	26256.394871795
5	0.002	3599.5840336134
5	0.001	5617.1837209302
5	0.0001	19100.533018868
5	2.0E-5	40289.703703704
5	1.0E-5	48633.803370787
5	0.0002	10430.300925926
0.05	0.002	41456.098901099
0.05	1.0E-5	101705.34285714
0.05	0.005	56812
0.05	0.001	50343.851851852
0.01	0.005	101072.80327869
0.01	1.0E-5	119951.42105263
0.01	0.001	96385.754716981
20000	2.0E-5	22019.852272727
20000	2	9136.6101694915
20000	5.0E-6	67491.930555556
20000	0.001	2414.3386243386
20000	0.05	514.16883116883
20000	0.2	8054.5394736842
20000	2.0E-6	47225.297619048
20000	0.005	1597.6292134831
20000	5.0E-7	9611.5094339623
20000	5.0E-5	23276.223404255
20000	1.0E-6	28549.821917808
20000	0.0001	11835.521276596
20000	0.002	4084.5824175824
20000	1.0E-7	10409.465517241
20000	0.01	2351.4237288136
20000	1	3604.0166666667
20000	0.1	10206.225352113
20000	1.0E-5	44383.824324324
20000	0.5	4883.6607142857
20000	0.0005	9547.3793103448
20000	0.02	980.65277777778
20000	0.0002	10904.160493827
20000	2.0E-7	13832.557377049
10000000	1.0E-5	50817.604938272
10000000	0.005	3228.2243589744
10000000	0.002	4505.5625
10000000	2.0E-6	35207.606557377
10000000	0.1	1361.8
10000000	0.01	1185.0561797753
10000000	0.001	2362.6242424242
10000000	5.0E-7	14577.964285714
10000000	0.5	7622.3018867925
10000000	0.0005	2231.0879120879
10000000	1.0E-6	31271.343283582
10000000	5.0E-5	16884.302631579
10000000	1	7233.3725490196
10000000	0.0001	12377.078651685
10000000	0.05	2684.9016393443
10000000	5.0E-6	46860.87755102
10000000	2.0E-5	20761.472222222
10000000	0.0002	14194.633333333
10000000	2.0E-7	14589.923076923
10000000	1.0E-7	3560.9154929577
10000000	0.2	3384.8813559322
200000	2.0E-5	26736.223684211
200000	0.0002	8090.25
200000	5.0E-5	16748.692307692
200000	1.0E-7	10923.551724138
200000	0.01	923.5
200000	0.05	5786.3134328358
200000	0.5	1754.1714285714
200000	0.1	7000.4637681159
200000	0.0001	6835.7790697674
200000	2.0E-7	6188.625
200000	0.001	3561.9578313253
200000	0.002	4084.375
200000	1.0E-6	29243.383333333
200000	1.0E-5	45015.4875
200000	2.0E-6	43639.837837838
200000	0.0005	3943.4146341463
200000	5.0E-7	22188.446153846
200000	1	9933.4782608696
200000	0.005	977.81547619048
200000	0.02	840.20253164557
200000	5.0E-6	30814.702702703
200000	0.2	3434.25
200000	2	3377.0289855072
5000000	0.002	1508.1363636364
5000000	5.0E-5	18227.925925926
5000000	2	1406.6896551724
5000000	0.0001	20096.269230769
5000000	2.0E-6	29074.376811594
5000000	5.0E-7	21024.782608696
5000000	0.001	4740.2576687117
5000000	0.005	1342.2605633803
5000000	1	13093.62962963
5000000	2.0E-5	26405.505617978
5000000	5.0E-6	44430.392857143
5000000	0.5	1204.2741935484
5000000	1.0E-5	62696.786666667
5000000	0.0005	5460.3764705882
5000000	0.02	1075.987012987
5000000	0.0002	10789.194174757
5000000	0.05	8475.0987654321
5000000	0.01	761.30769230769
5000000	2.0E-7	16653.362068966
5000000	1.0E-6	18063.424657534
5000000	0.1	2814.8734177215
5000000	1.0E-7	4339.6951219512
50000	0.2	1474.4
50000	0.0002	5196.35
50000	1.0E-5	42838.011904762
50000	0.0005	4193.4390243902
50000	0.0001	17288.597402597
50000	0.02	607.52054794521
50000	0.005	3820.99375
50000	0.05	635.70149253731
50000	0.002	2338.8222222222
50000	0.01	954.01315789474
50000	0.001	3503.5297619048
50000	5.0E-6	60285.691358025
50000	2.0E-5	20640.903225806
50000	1	1886.2096774194
50000	2.0E-7	2967.6851851852
50000	5.0E-5	38823.12987013
50000	5.0E-7	24006.6
50000	1.0E-7	7384.275862069
50000	1.0E-6	17426.774647887
50000	2	836.66666666667
50000	2.0E-6	63064.417910448
50000	0.5	2144.5384615385
50000	0.1	2979.421875
100000	1.0E-7	7124.0357142857
100000	0.0001	15692.111111111
100000	0.005	982.28205128205
100000	1.0E-6	49324.583333333
100000	2.0E-5	34634.2
100000	0.05	3218.696969697
100000	0.01	2461.6025641026
100000	0.5	1020.0454545455
100000	0.002	3102.5776397516
100000	5.0E-6	63986.620253165
100000	0.0002	5913.7184466019
100000	5.0E-7	29481.603174603
100000	5.0E-5	17731.285714286
100000	2.0E-7	25732.591549296
100000	0.0005	3646.4939759036
100000	0.001	1806.62
100000	0.1	9106.6363636364
100000	1.0E-5	29729.706666667
100000	1	6063.8701298701
100000	0.2	624.8
100000	2.0E-6	25747.492957746
100000	2	6782.1363636364
100000	0.02	817.56756756757
500000	0.02	2058.2235294118
500000	1.0E-5	32132.871428571
500000	5.0E-7	42850.824324324
500000	2.0E-6	48033.783783784
500000	5.0E-5	17934.419753086
500000	0.0001	8889.5925925926
500000	1.0E-6	26308.408450704
500000	0.005	1003.656626506
500000	0.01	7564.6666666667
500000	0.002	3325.4152046784
500000	2.0E-5	37474.426829268
500000	0.0005	2883.4356435644
500000	0.001	1950.7081081081
500000	0.2	6221.9285714286
500000	1	14787.734375
500000	0.0002	11086.824324324
500000	0.05	2514.5671641791
500000	0.1	8335.7118644068
500000	2	6755.5076923077
500000	1.0E-7	9170.2830188679
500000	0.5	2098.2115384615
500000	2.0E-7	26434.838709677
500000	5.0E-6	48462.129032258
1000000	0.0001	12948.476744186
1000000	0.002	4078.1547619048
1000000	0.001	6968.161849711
